Mixture,macrophages,mast,B.naive,B.memory,plasma,T.CD4.naive,T.CD4.memory,T.CD8.naive,T.CD8.memory,NK,pDCs,mDCs,monocytes.C,monocytes.NC.I,neutrophils,Treg,endothelial.cells,fibroblasts,P-value,Correlation,RMSE
ROI_094.dcc,0.138963098847158,0.00483770029877752,0,0,0.0097031746969885,0.0493809864808521,0.205194501094796,0.0571317342853915,0.248777303645136,0,0.00893522312809985,0.0170141889663944,0.0794928930665585,0,0.032199603472613,0.0757435780385799,0.0343375445251901,0.038288469453465,0,0.464215913624625,0.922232445103375
ROI_095.dcc,0.147261507688211,0.00420232649794012,0,0,0.062353636883723,0.0244993558347076,0.0816737630505541,0,0.259228805359209,0.0673594864807944,0.00646745820476608,0.0518507516246016,0.017301410119517,0,0.159127271414169,0.0455415906461794,0.0253407486808744,0.0477918875147535,0,0.535409794678922,0.885095609862673
ROI_096.dcc,0.0952538207846663,0.00554506835686846,0,0,0.104399743373959,0,0.196714348351182,0,0.160919134087258,0,0,0.0795912982535075,0.0538654909605018,0,0.0634776684198507,0.172155532200529,0.0314347149069589,0.0366431803047188,0,0.571490726460645,0.847643159741469
ROI_097.dcc,0.052334681701732,0.0194895649691903,0,0,0.0599711923914222,0,0,0,0.117885401514826,0,0,0.0643377945772366,0.0649472887858498,0,0,0.38578567623054,0.153086374771321,0.0821620250578809,0,0.399988768238079,0.917104947456983
ROI_098.dcc,0.227616393122437,0.0195445502819157,0,0,0,0,0.229320319386757,0,0,0.149917544917364,0.0733125618319603,0,0,0,0.193773563998003,0.0713262627762712,0,0.0351888036852917,0,0.151368661865879,0.9873188060367
ROI_099.dcc,0.102420054836647,0.00428703069567086,0.0608427103822898,0,0.00234715851014157,0,0,0.0170677318249012,0.211195037596149,0.057849258033494,0,0.00470096123332959,0,0,0.338183969705649,0.0687012140486166,0,0.132404873133111,0,0.339486425755645,0.944004627510876
ROI_100.dcc,0.0757156549902728,0.0117835176315779,0,0,0.0970471810338268,0.112564285684707,0.102080586814382,0.0574692945489798,0.126685894800152,0,0,0.064444891826919,0.00583486014435497,0,0.00788846891333847,0.124466395188689,0.0563776839433621,0.157641284479437,0,0.686929078274319,0.790753922391996
ROI_101.dcc,0.169236580857808,0.036706731143009,0,0,0.129743257138919,0,0.0820015926094824,0.057366584224701,0.0868893871446322,0.15857598987647,0,0.0104663459028258,0.0182167877120165,0,0,0,0.0994115484441433,0.151385194945994,0,0.597694889897442,0.850343650263803
ROI_102.dcc,0.17440931101881,0.00214205451927446,0,0,0.0966411064355459,0.0931888783602472,0.138039548141021,0,0.168634402978612,0.0384360299669294,0.00427722121459376,0.0210092778260433,0.0415092080939061,0,0,0.174211259453451,0,0.0475017019915664,0,0.559057849833402,0.90059929399871
ROI_103.dcc,0.0420172871515258,0.0186912614027617,0.190211566066418,0.152389825352021,0.175082648960673,0.0705731782455924,0.0270283136071635,0.020395342502048,0.105113083581457,0.00748501597758428,0,0,0.0654084281310373,0,0,0.0645285187024455,0.0596842873356599,0.00139124298361242,0,0.281321202702996,0.968027463256411
ROI_104.dcc,0,0.0051703981618828,0.154121126625882,0,0.112118012385514,0.0501844697975057,0.259222065855167,0,0.051958260008173,0.163342263214965,0,0.0229595863435524,0.0315352137962607,0,0,0.0882016009624626,0,0.0611870028486348,0,0.38324948349878,0.9465053016476
ROI_105.dcc,0.00153224624654662,0.00889612774726234,0.107972532592448,0.0451013914919171,0.283110856715692,0.0665029537203688,0.142481550528142,0,0.186026045673261,0,0.0171920445950265,0.0183146792172805,0.101168997003083,0,0,0,0,0.0217005744689721,0,0.359139218838103,0.945312179420459
ROI_106.dcc,0,0,0,0,0.138350368570455,0,0.076740052059028,0,0.249603517505388,0.225805902472892,0,0.0322165629860585,0.0226053934625436,0,0,0,0.197104627955509,0.0575735749881257,0,0.359414520796714,0.943988334953918
ROI_107.dcc,0,0.00643251560467255,0,0,0.00360284811531789,0,0,0,0.161858616232288,0.420363511883068,0,0.0289031850059768,0.0241620935196211,0,0.287035778673965,0,0.0536142638655799,0.0140271870995107,0,0.0356114733604205,1.00464412931428
ROI_108.dcc,0,0.0102727928789966,0,0,0,0,0,0,0.23031109308447,0.540272015502807,0,0,0.0344418769028161,0,0.0569193407320185,0,0.125238254049868,0.00254462684902403,0,0.109321714514522,0.994325194873503
ROI_109.dcc,0,0,0,0,0.00275684778410477,0,0,0,0.107150717983516,0.373759454348199,0.108012847095285,0.00754365788479908,0.0139610762848083,0,0.144667355444973,0.20397068030818,0,0.0381773628661349,0,0.0301509886182623,1.00363593796758
ROI_110.dcc,0,0.0308510343259,0.0857121473185023,0,0.2464308890115,0.140331824666626,0.0485338896710461,0.0768236545170595,0.0896668447406748,0,0.00387268167889819,0.0237167380029054,0,0.00422356656480066,0,0,0,0.249836729502087,0,0.694859878670974,0.759836572560628
ROI_111.dcc,0.0184089220512229,0,0,0,0.0920259646988133,0.0906404621683081,0.261468987016273,0.0208487888295282,0.165496654462034,0.00663877142825865,0.00923254838043901,0.0330643542439274,0.0344737401632528,0,0,0.204644768398013,0,0.0630560381599284,0,0.584098609237532,0.901169487497767
ROI_112.dcc,0.0544818000455982,0,0,0,0.141142465301082,0,0.103081511510975,0,0.183316694474038,0.00307919029885242,0,0.0577971180595282,0.0392969947322612,0,0.024159514695346,0.160371799049736,0.00604995191440826,0.227222959918176,0,0.80587043671299,0.685198867010836
ROI_113.dcc,0,0.00570520212178616,0,0,0.00658421117956694,0,0.00134532660859699,0,0.12972739036101,0.0730864095714744,0.255208734301071,0,0,0,0.444851605949506,0.00569240906174551,0.0476269664548936,0.0301717443903494,0,0.257375140281282,0.970494326666118
ROI_114.dcc,0,0.0140023368707247,0.0203687753355508,0,0,0,0,0,0,0.177891018794282,0.133268770962468,0,0,0,0.504228477428275,0.131739023027429,0,0.0185015975812705,0,0.111004526704982,0.994381757900051
ROI_115.dcc,0.115801379918742,0.00341475001275847,0,0,0.159203167565926,0,0,0,0.337557659879149,0,0.0215383530853677,0.0477207281122007,0.0395520945860695,0,0,0.0812765485210755,0.00685550890049227,0.187079809418219,0,0.704304186479123,0.769476115697848
ROI_116.dcc,0.0952278472716313,9.67983419196271e-05,0,0,0.0994147874443478,0.0340998848262187,0.107641516555736,0.0076638849585956,0.0436808753240527,0.098227325025887,0,0.0381679692275965,0.0852938236945973,0,0,0.204899292026185,0.0169694590769677,0.168616536226264,0,0.770476416038903,0.749079937557376
ROI_117.dcc,0.152452749333424,0.00787786207434241,0,0,0.199706157654432,0,0.0688976435607141,0.0581686874156303,0,0,0.0111020800191622,0.0493493419471788,0.0882429938606005,0,0,0.186373273286969,0.0108116838323488,0.167017527015198,0,0.729565012441786,0.750698900976024
ROI_118.dcc,0,0.00505332452285462,0.29679278875142,0.162691433262461,0.00168750058994339,0.0431383404835097,0.146406327247407,0.0290663418447631,0.144468166481307,0,0,0.0170315199329974,0.0282569494043786,0,0,0.0888252092250463,0.0335997149303861,0.00298238332352524,0,0.389405384189163,0.947733663773637
ROI_119.dcc,0.0460058196172817,0,0.0720389793528683,0,0.452327692189076,0,0,0,0.151366262168454,0,0,0.0230817062109621,0,0,0,0,0.191111614126717,0.064067926334641,0,0.501791985748871,0.908860367638549
ROI_120.dcc,0,0,0.024848053159925,0.147626947453847,0.0887435154913237,0.0736463627798925,0,0.0620860427070762,0.0759940364342294,0.334039356940739,0,0.0283498520734104,0.0213808935115423,0,0,0.0234206735860586,0.119864265861956,0,0,0.180155970562685,0.98339863094851
ROI_121.dcc,0,0.0147106422986818,0.0333175385191757,0,0.25685017686862,0,0.0505448712270957,0,0.306851838363977,0,0,0.110769581515389,0,0,0,0.102902570494158,0.122007929254261,0.00204485145864155,0,0.500634617788806,0.870551331400477
ROI_122.dcc,0,0.00966371406624609,0,0,0,0,0.0582335174820552,0,0,0.136928804759314,0.179003409559347,0,0.0912708926992158,0.15936481209385,0,0.310490376250415,0.00981106923262765,0.045233403856929,0,0.217357231906943,0.97507975420591
ROI_123.dcc,0,0.0445043591162318,0,0,0.362952755665042,0.198588723886288,0.0398964218855404,0,0,0.148790017785652,0.112512327339245,0,0.0482300177341977,0,0,0,0,0.0445253765878039,0,0.0926204109240224,0.996815156406981
